age,postal_code,gender,size,cust_id,embed_text
25-30,Mumbai,Male,XS,1,"Customer ID: 1, Gender: Male, postal_code: Mumbai, Age Range: 25-30, Size: XS"
30-35,Bengaluru,Male,XS,3,"Customer ID: 3, Gender: Male, postal_code: Bengaluru, Age Range: 30-35, Size: XS"
50-60,Chennai,Female,M,5,"Customer ID: 5, Gender: Female, postal_code: Chennai, Age Range: 50-60, Size: M"
60-70,Jaipur,Female,M,11,"Customer ID: 11, Gender: Female, postal_code: Jaipur, Age Range: 60-70, Size: M"
40-50,Bengaluru,Female,XL,12,"Customer ID: 12, Gender: Female, postal_code: Bengaluru, Age Range: 40-50, Size: XL"
20-25,Hyderabad,Female,L,13,"Customer ID: 13, Gender: Female, postal_code: Hyderabad, Age Range: 20-25, Size: L"
25-30,Chennai,Female,M,17,"Customer ID: 17, Gender: Female, postal_code: Chennai, Age Range: 25-30, Size: M"
50-60,Chennai,Female,M,19,"Customer ID: 19, Gender: Female, postal_code: Chennai, Age Range: 50-60, Size: M"
30-35,Delhi,Male,XS,20,"Customer ID: 20, Gender: Male, postal_code: Delhi, Age Range: 30-35, Size: XS"
15-20,Chennai,Female,S,21,"Customer ID: 21, Gender: Female, postal_code: Chennai, Age Range: 15-20, Size: S"
25-30,Bengaluru,Male,XL,22,"Customer ID: 22, Gender: Male, postal_code: Bengaluru, Age Range: 25-30, Size: XL"
30-35,Chandigarh,Female,XL,23,"Customer ID: 23, Gender: Female, postal_code: Chandigarh, Age Range: 30-35, Size: XL"
25-30,Hyderabad,Female,S,24,"Customer ID: 24, Gender: Female, postal_code: Hyderabad, Age Range: 25-30, Size: S"
20-25,Chennai,Female,XS,27,"Customer ID: 27, Gender: Female, postal_code: Chennai, Age Range: 20-25, Size: XS"
50-60,Ahmedabad,Female,M,28,"Customer ID: 28, Gender: Female, postal_code: Ahmedabad, Age Range: 50-60, Size: M"
20-25,Vadodara,Male,L,30,"Customer ID: 30, Gender: Male, postal_code: Vadodara, Age Range: 20-25, Size: L"
60-70,Nagpur,Female,L,32,"Customer ID: 32, Gender: Female, postal_code: Nagpur, Age Range: 60-70, Size: L"
30-35,Lucknow,Female,XS,33,"Customer ID: 33, Gender: Female, postal_code: Lucknow, Age Range: 30-35, Size: XS"
20-25,Coimbatore,Female,XS,35,"Customer ID: 35, Gender: Female, postal_code: Coimbatore, Age Range: 20-25, Size: XS"
20-25,Hyderabad,Male,S,36,"Customer ID: 36, Gender: Male, postal_code: Hyderabad, Age Range: 20-25, Size: S"
,Mumbai,Female,L,37,"Customer ID: 37, Gender: Female, postal_code: Mumbai, Age Range: nan, Size: L"
20-25,Delhi,Male,XS,40,"Customer ID: 40, Gender: Male, postal_code: Delhi, Age Range: 20-25, Size: XS"
50-60,Chennai,Female,M,41,"Customer ID: 41, Gender: Female, postal_code: Chennai, Age Range: 50-60, Size: M"
25-30,Hyderabad,Female,L,42,"Customer ID: 42, Gender: Female, postal_code: Hyderabad, Age Range: 25-30, Size: L"
40-50,Mumbai,Female,XL,44,"Customer ID: 44, Gender: Female, postal_code: Mumbai, Age Range: 40-50, Size: XL"
40-50,Chennai,Male,XL,45,"Customer ID: 45, Gender: Male, postal_code: Chennai, Age Range: 40-50, Size: XL"
50-60,Chennai,Female,XL,47,"Customer ID: 47, Gender: Female, postal_code: Chennai, Age Range: 50-60, Size: XL"
35-40,Surat,Female,M,48,"Customer ID: 48, Gender: Female, postal_code: Surat, Age Range: 35-40, Size: M"
35-40,Mumbai,Male,XL,49,"Customer ID: 49, Gender: Male, postal_code: Mumbai, Age Range: 35-40, Size: XL"
25-30,Chennai,Female,L,50,"Customer ID: 50, Gender: Female, postal_code: Chennai, Age Range: 25-30, Size: L"
35-40,Chandigarh,Female,L,51,"Customer ID: 51, Gender: Female, postal_code: Chandigarh, Age Range: 35-40, Size: L"
20-25,Ahmedabad,Female,XL,52,"Customer ID: 52, Gender: Female, postal_code: Ahmedabad, Age Range: 20-25, Size: XL"
25-30,Delhi,Female,S,53,"Customer ID: 53, Gender: Female, postal_code: Delhi, Age Range: 25-30, Size: S"
20-25,Hyderabad,Female,XL,54,"Customer ID: 54, Gender: Female, postal_code: Hyderabad, Age Range: 20-25, Size: XL"
25-30,Lucknow,Male,S,55,"Customer ID: 55, Gender: Male, postal_code: Lucknow, Age Range: 25-30, Size: S"
30-35,Delhi,Female,L,56,"Customer ID: 56, Gender: Female, postal_code: Delhi, Age Range: 30-35, Size: L"
50-60,Lucknow,Male,XS,58,"Customer ID: 58, Gender: Male, postal_code: Lucknow, Age Range: 50-60, Size: XS"
35-40,Vadodara,Male,XS,60,"Customer ID: 60, Gender: Male, postal_code: Vadodara, Age Range: 35-40, Size: XS"
50-60,Mumbai,Female,S,62,"Customer ID: 62, Gender: Female, postal_code: Mumbai, Age Range: 50-60, Size: S"
50-60,Bengaluru,Female,L,63,"Customer ID: 63, Gender: Female, postal_code: Bengaluru, Age Range: 50-60, Size: L"
40-50,Bengaluru,Female,XL,64,"Customer ID: 64, Gender: Female, postal_code: Bengaluru, Age Range: 40-50, Size: XL"
30-35,Delhi,Female,XL,65,"Customer ID: 65, Gender: Female, postal_code: Delhi, Age Range: 30-35, Size: XL"
20-25,Bengaluru,Male,M,66,"Customer ID: 66, Gender: Male, postal_code: Bengaluru, Age Range: 20-25, Size: M"
35-40,Mumbai,Female,XS,71,"Customer ID: 71, Gender: Female, postal_code: Mumbai, Age Range: 35-40, Size: XS"
50-60,Delhi,Male,S,73,"Customer ID: 73, Gender: Male, postal_code: Delhi, Age Range: 50-60, Size: S"
20-25,Hyderabad,Female,L,76,"Customer ID: 76, Gender: Female, postal_code: Hyderabad, Age Range: 20-25, Size: L"
50-60,Mumbai,Male,XS,77,"Customer ID: 77, Gender: Male, postal_code: Mumbai, Age Range: 50-60, Size: XS"
50-60,Patna,Male,M,80,"Customer ID: 80, Gender: Male, postal_code: Patna, Age Range: 50-60, Size: M"
40-50,Jaipur,Female,L,81,"Customer ID: 81, Gender: Female, postal_code: Jaipur, Age Range: 40-50, Size: L"
50-60,Delhi,Male,S,82,"Customer ID: 82, Gender: Male, postal_code: Delhi, Age Range: 50-60, Size: S"
25-30,Patna,Female,S,84,"Customer ID: 84, Gender: Female, postal_code: Patna, Age Range: 25-30, Size: S"
30-35,Hyderabad,Male,M,85,"Customer ID: 85, Gender: Male, postal_code: Hyderabad, Age Range: 30-35, Size: M"
25-30,Bengaluru,Female,L,86,"Customer ID: 86, Gender: Female, postal_code: Bengaluru, Age Range: 25-30, Size: L"
25-30,Hyderabad,Female,XL,87,"Customer ID: 87, Gender: Female, postal_code: Hyderabad, Age Range: 25-30, Size: XL"
50-60,Chennai,Female,M,90,"Customer ID: 90, Gender: Female, postal_code: Chennai, Age Range: 50-60, Size: M"
35-40,Chennai,Male,L,91,"Customer ID: 91, Gender: Male, postal_code: Chennai, Age Range: 35-40, Size: L"
40-50,Bengaluru,Female,XS,92,"Customer ID: 92, Gender: Female, postal_code: Bengaluru, Age Range: 40-50, Size: XS"
50-60,Pune,Female,M,94,"Customer ID: 94, Gender: Female, postal_code: Pune, Age Range: 50-60, Size: M"
50-60,Ahmedabad,Female,XL,96,"Customer ID: 96, Gender: Female, postal_code: Ahmedabad, Age Range: 50-60, Size: XL"
50-60,Surat,Female,XL,98,"Customer ID: 98, Gender: Female, postal_code: Surat, Age Range: 50-60, Size: XL"
25-30,Pune,Male,L,100,"Customer ID: 100, Gender: Male, postal_code: Pune, Age Range: 25-30, Size: L"
25-30,Delhi,Male,L,102,"Customer ID: 102, Gender: Male, postal_code: Delhi, Age Range: 25-30, Size: L"
40-50,Hyderabad,Female,XL,103,"Customer ID: 103, Gender: Female, postal_code: Hyderabad, Age Range: 40-50, Size: XL"
60-70,Delhi,Female,L,108,"Customer ID: 108, Gender: Female, postal_code: Delhi, Age Range: 60-70, Size: L"
20-25,Jaipur,Male,S,110,"Customer ID: 110, Gender: Male, postal_code: Jaipur, Age Range: 20-25, Size: S"
40-50,Delhi,Female,M,111,"Customer ID: 111, Gender: Female, postal_code: Delhi, Age Range: 40-50, Size: M"
40-50,Guwahati,Female,XS,113,"Customer ID: 113, Gender: Female, postal_code: Guwahati, Age Range: 40-50, Size: XS"
20-25,Chennai,Female,S,114,"Customer ID: 114, Gender: Female, postal_code: Chennai, Age Range: 20-25, Size: S"
50-60,Bengaluru,Female,M,115,"Customer ID: 115, Gender: Female, postal_code: Bengaluru, Age Range: 50-60, Size: M"
40-50,Pune,Male,XL,117,"Customer ID: 117, Gender: Male, postal_code: Pune, Age Range: 40-50, Size: XL"
40-50,Chennai,Female,M,118,"Customer ID: 118, Gender: Female, postal_code: Chennai, Age Range: 40-50, Size: M"
20-25,Chennai,Male,L,120,"Customer ID: 120, Gender: Male, postal_code: Chennai, Age Range: 20-25, Size: L"
25-30,Hyderabad,Male,S,121,"Customer ID: 121, Gender: Male, postal_code: Hyderabad, Age Range: 25-30, Size: S"
50-60,Delhi,Female,L,123,"Customer ID: 123, Gender: Female, postal_code: Delhi, Age Range: 50-60, Size: L"
20-25,Visakhapatnam,Female,XS,125,"Customer ID: 125, Gender: Female, postal_code: Visakhapatnam, Age Range: 20-25, Size: XS"
40-50,Bengaluru,Female,L,126,"Customer ID: 126, Gender: Female, postal_code: Bengaluru, Age Range: 40-50, Size: L"
60-70,Pune,Female,M,128,"Customer ID: 128, Gender: Female, postal_code: Pune, Age Range: 60-70, Size: M"
25-30,Delhi,Male,S,130,"Customer ID: 130, Gender: Male, postal_code: Delhi, Age Range: 25-30, Size: S"
40-50,Ahmedabad,Male,M,131,"Customer ID: 131, Gender: Male, postal_code: Ahmedabad, Age Range: 40-50, Size: M"
50-60,Hyderabad,Male,M,132,"Customer ID: 132, Gender: Male, postal_code: Hyderabad, Age Range: 50-60, Size: M"
25-30,Hyderabad,Female,S,138,"Customer ID: 138, Gender: Female, postal_code: Hyderabad, Age Range: 25-30, Size: S"
20-25,Pune,Male,XS,139,"Customer ID: 139, Gender: Male, postal_code: Pune, Age Range: 20-25, Size: XS"
30-35,Nagpur,Male,XL,140,"Customer ID: 140, Gender: Male, postal_code: Nagpur, Age Range: 30-35, Size: XL"
20-25,Kolkata,Female,M,141,"Customer ID: 141, Gender: Female, postal_code: Kolkata, Age Range: 20-25, Size: M"
40-50,Visakhapatnam,Male,L,142,"Customer ID: 142, Gender: Male, postal_code: Visakhapatnam, Age Range: 40-50, Size: L"
25-30,Visakhapatnam,Female,XS,143,"Customer ID: 143, Gender: Female, postal_code: Visakhapatnam, Age Range: 25-30, Size: XS"
25-30,Bhopal,Female,XS,144,"Customer ID: 144, Gender: Female, postal_code: Bhopal, Age Range: 25-30, Size: XS"
25-30,Mumbai,Male,XL,147,"Customer ID: 147, Gender: Male, postal_code: Mumbai, Age Range: 25-30, Size: XL"
20-25,Chennai,Female,XS,148,"Customer ID: 148, Gender: Female, postal_code: Chennai, Age Range: 20-25, Size: XS"
50-60,Chennai,Male,XL,149,"Customer ID: 149, Gender: Male, postal_code: Chennai, Age Range: 50-60, Size: XL"
25-30,Bengaluru,Male,L,150,"Customer ID: 150, Gender: Male, postal_code: Bengaluru, Age Range: 25-30, Size: L"
35-40,Surat,Male,XS,154,"Customer ID: 154, Gender: Male, postal_code: Surat, Age Range: 35-40, Size: XS"
30-35,Mumbai,Female,L,155,"Customer ID: 155, Gender: Female, postal_code: Mumbai, Age Range: 30-35, Size: L"
20-25,Ahmedabad,Female,M,159,"Customer ID: 159, Gender: Female, postal_code: Ahmedabad, Age Range: 20-25, Size: M"
35-40,Hyderabad,Male,L,160,"Customer ID: 160, Gender: Male, postal_code: Hyderabad, Age Range: 35-40, Size: L"
25-30,Chennai,Female,S,161,"Customer ID: 161, Gender: Female, postal_code: Chennai, Age Range: 25-30, Size: S"
50-60,Chennai,Female,S,162,"Customer ID: 162, Gender: Female, postal_code: Chennai, Age Range: 50-60, Size: S"
50-60,Bengaluru,Female,L,164,"Customer ID: 164, Gender: Female, postal_code: Bengaluru, Age Range: 50-60, Size: L"
35-40,Mumbai,Female,M,165,"Customer ID: 165, Gender: Female, postal_code: Mumbai, Age Range: 35-40, Size: M"
25-30,Mumbai,Male,L,168,"Customer ID: 168, Gender: Male, postal_code: Mumbai, Age Range: 25-30, Size: L"
60-70,Chennai,Female,L,169,"Customer ID: 169, Gender: Female, postal_code: Chennai, Age Range: 60-70, Size: L"
25-30,Hyderabad,Female,XS,170,"Customer ID: 170, Gender: Female, postal_code: Hyderabad, Age Range: 25-30, Size: XS"
40-50,Bengaluru,Male,L,172,"Customer ID: 172, Gender: Male, postal_code: Bengaluru, Age Range: 40-50, Size: L"
50-60,Delhi,Female,S,173,"Customer ID: 173, Gender: Female, postal_code: Delhi, Age Range: 50-60, Size: S"
50-60,Mumbai,Female,XL,175,"Customer ID: 175, Gender: Female, postal_code: Mumbai, Age Range: 50-60, Size: XL"
25-30,Ahmedabad,Male,XL,176,"Customer ID: 176, Gender: Male, postal_code: Ahmedabad, Age Range: 25-30, Size: XL"
60-70,Hyderabad,Female,S,177,"Customer ID: 177, Gender: Female, postal_code: Hyderabad, Age Range: 60-70, Size: S"
35-40,Chennai,Male,M,178,"Customer ID: 178, Gender: Male, postal_code: Chennai, Age Range: 35-40, Size: M"
40-50,Chandigarh,Female,XL,179,"Customer ID: 179, Gender: Female, postal_code: Chandigarh, Age Range: 40-50, Size: XL"
25-30,Chennai,Male,S,180,"Customer ID: 180, Gender: Male, postal_code: Chennai, Age Range: 25-30, Size: S"
20-25,Jaipur,Male,S,181,"Customer ID: 181, Gender: Male, postal_code: Jaipur, Age Range: 20-25, Size: S"
40-50,Bengaluru,Female,S,182,"Customer ID: 182, Gender: Female, postal_code: Bengaluru, Age Range: 40-50, Size: S"
35-40,Chennai,Female,L,183,"Customer ID: 183, Gender: Female, postal_code: Chennai, Age Range: 35-40, Size: L"
40-50,Guwahati,Male,M,184,"Customer ID: 184, Gender: Male, postal_code: Guwahati, Age Range: 40-50, Size: M"
25-30,Delhi,Female,XS,188,"Customer ID: 188, Gender: Female, postal_code: Delhi, Age Range: 25-30, Size: XS"
60-70,Bengaluru,Male,M,189,"Customer ID: 189, Gender: Male, postal_code: Bengaluru, Age Range: 60-70, Size: M"
50-60,Delhi,Female,XS,190,"Customer ID: 190, Gender: Female, postal_code: Delhi, Age Range: 50-60, Size: XS"
40-50,Bengaluru,Female,M,191,"Customer ID: 191, Gender: Female, postal_code: Bengaluru, Age Range: 40-50, Size: M"
50-60,Visakhapatnam,Male,M,198,"Customer ID: 198, Gender: Male, postal_code: Visakhapatnam, Age Range: 50-60, Size: M"
20-25,Visakhapatnam,Male,S,201,"Customer ID: 201, Gender: Male, postal_code: Visakhapatnam, Age Range: 20-25, Size: S"
40-50,Ahmedabad,Female,S,202,"Customer ID: 202, Gender: Female, postal_code: Ahmedabad, Age Range: 40-50, Size: S"
40-50,Nagpur,Female,XL,203,"Customer ID: 203, Gender: Female, postal_code: Nagpur, Age Range: 40-50, Size: XL"
35-40,Bengaluru,Female,M,204,"Customer ID: 204, Gender: Female, postal_code: Bengaluru, Age Range: 35-40, Size: M"
50-60,Chennai,Female,M,205,"Customer ID: 205, Gender: Female, postal_code: Chennai, Age Range: 50-60, Size: M"
,Chennai,Female,XL,206,"Customer ID: 206, Gender: Female, postal_code: Chennai, Age Range: nan, Size: XL"
50-60,Indore,Female,XL,207,"Customer ID: 207, Gender: Female, postal_code: Indore, Age Range: 50-60, Size: XL"
20-25,Patna,Female,M,208,"Customer ID: 208, Gender: Female, postal_code: Patna, Age Range: 20-25, Size: M"
40-50,Nagpur,Male,L,210,"Customer ID: 210, Gender: Male, postal_code: Nagpur, Age Range: 40-50, Size: L"
20-25,Delhi,Male,S,211,"Customer ID: 211, Gender: Male, postal_code: Delhi, Age Range: 20-25, Size: S"
40-50,Delhi,Male,XL,212,"Customer ID: 212, Gender: Male, postal_code: Delhi, Age Range: 40-50, Size: XL"
60-70,Chandigarh,Female,S,214,"Customer ID: 214, Gender: Female, postal_code: Chandigarh, Age Range: 60-70, Size: S"
25-30,Vadodara,Female,M,215,"Customer ID: 215, Gender: Female, postal_code: Vadodara, Age Range: 25-30, Size: M"
30-35,Bengaluru,Female,XL,216,"Customer ID: 216, Gender: Female, postal_code: Bengaluru, Age Range: 30-35, Size: XL"
60-70,Guwahati,Female,S,217,"Customer ID: 217, Gender: Female, postal_code: Guwahati, Age Range: 60-70, Size: S"
25-30,Nagpur,Male,S,218,"Customer ID: 218, Gender: Male, postal_code: Nagpur, Age Range: 25-30, Size: S"
60-70,Hyderabad,Female,XS,219,"Customer ID: 219, Gender: Female, postal_code: Hyderabad, Age Range: 60-70, Size: XS"
20-25,Coimbatore,Female,S,220,"Customer ID: 220, Gender: Female, postal_code: Coimbatore, Age Range: 20-25, Size: S"
70-80,Bengaluru,Male,XS,222,"Customer ID: 222, Gender: Male, postal_code: Bengaluru, Age Range: 70-80, Size: XS"
35-40,Delhi,Female,M,226,"Customer ID: 226, Gender: Female, postal_code: Delhi, Age Range: 35-40, Size: M"
40-50,Nagpur,Female,L,228,"Customer ID: 228, Gender: Female, postal_code: Nagpur, Age Range: 40-50, Size: L"
20-25,Guwahati,Female,S,229,"Customer ID: 229, Gender: Female, postal_code: Guwahati, Age Range: 20-25, Size: S"
20-25,Visakhapatnam,Female,XL,230,"Customer ID: 230, Gender: Female, postal_code: Visakhapatnam, Age Range: 20-25, Size: XL"
40-50,Chennai,Male,XS,231,"Customer ID: 231, Gender: Male, postal_code: Chennai, Age Range: 40-50, Size: XS"
50-60,Ahmedabad,Female,M,232,"Customer ID: 232, Gender: Female, postal_code: Ahmedabad, Age Range: 50-60, Size: M"
30-35,Pune,Female,XS,233,"Customer ID: 233, Gender: Female, postal_code: Pune, Age Range: 30-35, Size: XS"
20-25,Hyderabad,Male,XL,234,"Customer ID: 234, Gender: Male, postal_code: Hyderabad, Age Range: 20-25, Size: XL"
50-60,Coimbatore,Female,XL,235,"Customer ID: 235, Gender: Female, postal_code: Coimbatore, Age Range: 50-60, Size: XL"
30-35,Coimbatore,Male,M,236,"Customer ID: 236, Gender: Male, postal_code: Coimbatore, Age Range: 30-35, Size: M"
25-30,Indore,Female,S,237,"Customer ID: 237, Gender: Female, postal_code: Indore, Age Range: 25-30, Size: S"
20-25,Hyderabad,Female,XL,239,"Customer ID: 239, Gender: Female, postal_code: Hyderabad, Age Range: 20-25, Size: XL"
20-25,Surat,Male,L,240,"Customer ID: 240, Gender: Male, postal_code: Surat, Age Range: 20-25, Size: L"
20-25,Surat,Female,XL,242,"Customer ID: 242, Gender: Female, postal_code: Surat, Age Range: 20-25, Size: XL"
40-50,Mumbai,Female,M,243,"Customer ID: 243, Gender: Female, postal_code: Mumbai, Age Range: 40-50, Size: M"
25-30,Chennai,Female,L,245,"Customer ID: 245, Gender: Female, postal_code: Chennai, Age Range: 25-30, Size: L"
60-70,Hyderabad,Female,S,246,"Customer ID: 246, Gender: Female, postal_code: Hyderabad, Age Range: 60-70, Size: S"
50-60,Hyderabad,Male,M,248,"Customer ID: 248, Gender: Male, postal_code: Hyderabad, Age Range: 50-60, Size: M"
40-50,Hyderabad,Female,XL,250,"Customer ID: 250, Gender: Female, postal_code: Hyderabad, Age Range: 40-50, Size: XL"
30-35,Visakhapatnam,Male,XS,251,"Customer ID: 251, Gender: Male, postal_code: Visakhapatnam, Age Range: 30-35, Size: XS"
25-30,Mumbai,Male,XS,253,"Customer ID: 253, Gender: Male, postal_code: Mumbai, Age Range: 25-30, Size: XS"
50-60,Patna,Female,L,254,"Customer ID: 254, Gender: Female, postal_code: Patna, Age Range: 50-60, Size: L"
25-30,Delhi,Female,L,255,"Customer ID: 255, Gender: Female, postal_code: Delhi, Age Range: 25-30, Size: L"
35-40,Mumbai,Male,XS,256,"Customer ID: 256, Gender: Male, postal_code: Mumbai, Age Range: 35-40, Size: XS"
40-50,Delhi,Female,XS,258,"Customer ID: 258, Gender: Female, postal_code: Delhi, Age Range: 40-50, Size: XS"
20-25,Visakhapatnam,Female,M,260,"Customer ID: 260, Gender: Female, postal_code: Visakhapatnam, Age Range: 20-25, Size: M"
20-25,Patna,Female,XL,263,"Customer ID: 263, Gender: Female, postal_code: Patna, Age Range: 20-25, Size: XL"
25-30,Bengaluru,Female,L,264,"Customer ID: 264, Gender: Female, postal_code: Bengaluru, Age Range: 25-30, Size: L"
