t_dat,article_id,sales_channel_id,payment_method,SKU_No,prod_return_type,return_Status,delivered,cust_id
2018-09-29,655347006,1,UPI,655347006.0,No return,Not Returned,Delivered,4512
2018-10-07,607564004,1,Cash,607564004.0,15 days return,Not Returned,Delivered,1864
2018-10-22,637280002,2,Card,637280002.0,7 days return,Not Returned,Delivered,383
2018-09-30,673630003,1,UPI,673630003.0,15 days return,Not Returned,Delivered,881
2018-10-27,600229001,1,UPI,600229001.0,No return,Not Returned,Delivered,2921
2018-11-01,664074020,1,Card,664074020.0,7 days return,Not Returned,Delivered,552
2018-10-10,556260007,1,UPI,556260007.0,7 days return,Not Returned,Delivered,3866
2018-10-20,610776002,1,UPI,610776002.0,15 days return,Not Returned,Delivered,334
2018-09-26,700862001,2,UPI,700862001.0,7 days return,Not Returned,Delivered,3857
2018-09-29,634332001,1,Card,634332001.0,15 days return,Not Returned,Delivered,4897
2018-09-29,703193001,1,Card,703193001.0,7 days return,Returned,Delivered,236
2018-09-30,610776022,1,UPI,610776022.0,No return,Not Returned,Delivered,1093
2018-10-20,569206001,2,UPI,569206001.0,7 days return,Returned,Delivered,1621
2018-10-12,427159023,1,UPI,427159023.0,15 days return,Not Returned,Delivered,799
2018-10-05,633136017,1,Card,633136017.0,7 days return,Not Returned,Delivered,3339
2018-10-20,393447016,2,UPI,393447016.0,No return,Not Returned,Delivered,1467
2018-10-13,648968003,2,UPI,648968003.0,15 days return,Not Returned,Delivered,1469
2018-10-17,524061003,2,UPI,524061003.0,7 days return,,Not Delivered (Others),3745
2018-10-15,676141001,1,UPI,676141001.0,7 days return,Not Returned,Delivered,4843
2018-10-10,562245039,1,Card,562245039.0,15 days return,Not Returned,Delivered,4243
2018-11-01,549263016,2,UPI,549263016.0,7 days return,Returned,Delivered,572
2018-10-31,620855001,2,UPI,620855001.0,15 days return,Not Returned,Delivered,4357
2018-10-22,532578017,2,Cash,532578017.0,7 days return,,Not Delivered (Wrong Item),1361
2018-09-30,576775012,2,UPI,576775012.0,7 days return,Not Returned,Delivered,4562
2018-10-24,689931001,2,UPI,689931001.0,No return,Not Returned,Delivered,3743
2018-10-05,669862001,2,Cash,669862001.0,15 days return,Not Returned,Delivered,1771
2018-09-29,648630001,1,Card,648630001.0,15 days return,,Not Delivered (Wrong Item),2665
2018-10-11,665201001,2,UPI,665201001.0,No return,Not Returned,Delivered,3759
2018-10-09,496762018,2,UPI,496762018.0,No return,Not Returned,Delivered,2630
2018-09-21,662888002,1,UPI,662888002.0,No return,Not Returned,Delivered,3196
2018-10-28,661810002,2,UPI,661810002.0,15 days return,Not Returned,Delivered,3578
2018-10-04,579541001,2,Cash,579541001.0,15 days return,Not Returned,Delivered,4030
2018-10-30,657243004,2,UPI,657243004.0,No return,Not Returned,Delivered,1843
2018-09-20,688873002,1,Cash,688873002.0,15 days return,,Not Delivered (Others),2026
2018-10-13,626263002,1,UPI,626263002.0,7 days return,Returned,Delivered,428
2018-10-17,675139006,2,UPI,675139006.0,7 days return,Not Returned,Delivered,4346
2018-10-10,662980001,1,UPI,662980001.0,7 days return,Not Returned,Delivered,2479
2018-09-26,632143001,2,Cash,632143001.0,7 days return,Returned,Delivered,3593
2018-10-20,640807002,2,UPI,640807002.0,No return,Not Returned,Delivered,1064
2018-10-07,728146001,2,UPI,728146001.0,15 days return,Not Returned,Delivered,282
2018-10-04,522398011,2,UPI,522398011.0,No return,Not Returned,Delivered,1905
2018-10-26,506166025,1,UPI,506166025.0,No return,Not Returned,Delivered,3990
2018-09-27,648627001,1,Card,648627001.0,No return,Not Returned,Delivered,2913
2018-09-30,625939035,2,Card,625939035.0,7 days return,Not Returned,Delivered,4958
2018-10-18,625939003,2,UPI,625939003.0,No return,Not Returned,Delivered,2234
2018-10-13,111586001,1,Card,111586001.0,7 days return,,Not Delivered (Others),2306
2018-09-25,661166005,1,UPI,661166005.0,No return,Not Returned,Delivered,1420
2018-10-21,614644001,2,Card,614644001.0,7 days return,Not Returned,Delivered,393
2018-09-23,557247007,1,Card,557247007.0,15 days return,Not Returned,Delivered,2691
2018-09-29,680374002,2,Card,680374002.0,7 days return,Returned,Delivered,909
2018-09-26,678086001,2,UPI,678086001.0,15 days return,Not Returned,Delivered,835
2018-09-30,570004053,1,UPI,570004053.0,No return,Not Returned,Delivered,317
2018-10-12,659562001,2,UPI,659562001.0,15 days return,Returned,Delivered,536
2018-10-24,543054009,1,UPI,543054009.0,7 days return,Returned,Delivered,1011
2018-09-29,547874002,2,UPI,547874002.0,No return,Not Returned,Delivered,3810
2018-09-29,672890001,2,UPI,672890001.0,No return,Not Returned,Delivered,3506
2018-10-27,647781001,1,Card,647781001.0,No return,Not Returned,Delivered,2763
2018-09-28,685687002,2,UPI,685687002.0,15 days return,Returned,Delivered,3202
2018-10-30,685766001,2,UPI,685766001.0,7 days return,Returned,Delivered,2158
2018-10-25,712547001,1,UPI,712547001.0,No return,Not Returned,Delivered,407
2018-10-14,636902003,2,UPI,636902003.0,7 days return,Returned,Delivered,2130
2018-10-10,662593001,1,UPI,662593001.0,7 days return,Not Returned,Delivered,578
2018-10-12,667378002,2,UPI,667378002.0,15 days return,Returned,Delivered,2592
2018-09-21,619175003,2,UPI,619175003.0,15 days return,Not Returned,Delivered,1089
2018-10-18,570003016,2,UPI,570003016.0,No return,Not Returned,Delivered,3987
2018-10-01,642380001,2,UPI,642380001.0,7 days return,Returned,Delivered,3672
2018-10-25,628499016,2,UPI,628499016.0,7 days return,Returned,Delivered,1410
2018-09-24,693956003,2,UPI,693956003.0,No return,Not Returned,Delivered,2171
2018-10-17,717130004,2,UPI,717130004.0,No return,Not Returned,Delivered,1306
2018-09-25,646592006,2,Card,646592006.0,7 days return,,Not Delivered (Wrong Item),4749
2018-10-02,663679001,2,UPI,663679001.0,15 days return,Returned,Delivered,4084
2018-10-26,625518001,2,Card,625518001.0,7 days return,Returned,Delivered,2917
2018-10-10,637515005,2,Cash,637515005.0,7 days return,Not Returned,Delivered,4713
2018-09-24,189626001,2,UPI,189626001.0,7 days return,Not Returned,Delivered,3937
2018-10-25,651558012,2,UPI,651558012.0,No return,Not Returned,Delivered,1999
2018-10-10,686496001,2,Card,686496001.0,15 days return,Not Returned,Delivered,1947
2018-10-06,589222005,1,Cash,589222005.0,7 days return,Not Returned,Delivered,1064
2018-09-24,536385003,2,UPI,536385003.0,7 days return,,Not Delivered (Others),447
2018-09-20,581086004,2,Card,581086004.0,15 days return,Not Returned,Delivered,1059
2018-10-25,687331005,2,UPI,687331005.0,7 days return,Not Returned,Delivered,4726
