image,gender,color,material,sleeve,pattern,neckline,style,category,item_ID
<PIL.Image.Image image mode=RGB size=500x500 at 0x79C77F6FAA80>,Female,,Polyester,,Floral,,Bodycon,Jumpsuits Overalls & Rompers,1
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DEFFF80>,Female,,Chiffon,,,,Summer,Swimsuit Cover-ups,100
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF46660>,Female,Black,,,Mesh,V-Necks,Spaghetti Straps,Lingerie Sleepwear & Underwear,10000
<PIL.Image.Image image mode=RGB size=399x417 at 0x79C77DF46D20>,Female,,,Long Sleeved,Floral,V-Necks,Printed,Jumpsuits Overalls & Rompers,1000001
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF46A80>,Male,Black,Spandex,,,,,Swim Trunks,1000002
<PIL.Image.Image image mode=RGB size=397x600 at 0x79C77DF47230>,Female,Black White,Polyester Spandex,Long Sleeved,,Shoulder Drapes,Bodycon,Dresses,1000004
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF47620>,Male,,,,,,,Fashion Sets,1000006
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF47C20>,Female,,,Sleeveless,,Sweetheart Neckline,Pleated,Wedding Dresses,1000007
<PIL.Image.Image image mode=RGB size=587x400 at 0x79C77DF46960>,Female,,,Sleeveless,,Sweetheart Neckline,Bodycon,Dresses,1000008
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF943E0>,Female,,,Strapless,Leopard And Cheetah,Sweetheart Neckline,Bodycon,Party Dresses,1000009
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DEFCD40>,Male,,Denim,,Ripped,,,Jeans,100001
<PIL.Image.Image image mode=RGB size=500x500 at 0x79C79FFF78C0>,Female,Black White,,,,Collared,Vintage Retro,,1000010
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF95610>,Female,,Chiffon,Sleeveless,Chevron,V-Necks,Summer,Casual Dresses,1000011
<PIL.Image.Image image mode=RGB size=587x400 at 0x79C77DF95A00>,Female,,,Long Sleeved,,Round Neck,Tunic,Hoodies & Sweatshirts,1000012
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF959D0>,Female,White,Chiffon,Strapless,Floral,Off The Shoulder,Pleated,Dresses,1000013
<PIL.Image.Image image mode=RGB size=556x600 at 0x79C77DF95A90>,Female,Blue,Denim,,Ripped,,,Jumpsuits Overalls & Rompers,1000016
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF96060>,Neutral,,Knit,Long Sleeved,,Off The Shoulder,Bodycon,Dresses,1000017
<PIL.Image.Image image mode=RGB size=457x600 at 0x79C77DF96780>,Male,,,Long Sleeved,,,,Athletic Sets,1000018
<PIL.Image.Image image mode=RGB size=600x513 at 0x79C77DF96B10>,Female,Black White,,Short Sleeves,,Off The Shoulder,Summer,Blouses,1000020
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF96F60>,Neutral,Blue White,Polyester,Long Sleeved,,Off The Shoulder,,,1000024
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF95010>,Female,,Denim,,Ripped,,,Jeans,1000025
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF949E0>,Male,Black Gray Green,Polyester Spandex,,Camouflage,,,Athletic Pants,1000026
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF97A40>,Male,Black,Cotton,Long Sleeved,,Round Neck,Printed,T-Shirts,1000027
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF94A40>,Female,Black Pink White,Knit,Long Sleeved,,Off The Shoulder,,,1000029
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DFA4440>,Female,Black,Spandex,Sleeveless,,V-Necks,Spaghetti Straps,Underwear,100003
<PIL.Image.Image image mode=RGB size=587x400 at 0x79C77DF944A0>,Female,,,Long Sleeved,,Round Neck,Summer,Uniforms,1000030
<PIL.Image.Image image mode=RGB size=200x251 at 0x79C77DF94C50>,Female,,,Long Sleeved,,Turtlenecks,,,1000031
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF96AB0>,Female,Black Green Red Yellow,,Long Sleeved,,Turtlenecks,,,1000033
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF94C20>,Female,,,Sleeveless,,V-Necks,Vintage Retro,Dresses,1000034
<PIL.Image.Image image mode=RGB size=400x600 at 0x79C77DFA4A10>,Female,,Lace Tulle,Strapless,Floral Sequins,Sweetheart Neckline,Beaded,Wedding Dresses,1000035
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF96F30>,Female,,,Long Sleeved,,Off The Shoulder,Summer,Dresses,1000036
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF97680>,Female,White,Polyester,Sleeveless,,V-Necks,Spaghetti Straps,Jumpsuits Overalls & Rompers,1000037
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DFA5580>,Female,Black Blue Red,Satin Silk,,,V-Necks,Summer,Nightgowns,100004
<PIL.Image.Image image mode=RGB size=600x571 at 0x79C77DFA5970>,Female,Black Pink,Spandex,Sleeveless,Mesh,,Spaghetti Straps,Nightgowns,1000040
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DFA5250>,Female,Black Blue,,Long Sleeved,,,,Skinny Jeans,1000041
<PIL.Image.Image image mode=RGB size=600x599 at 0x79C77DFA5AC0>,Female,,Lace,Long Sleeved,,Turtlenecks,Peplum,Blouses,1000042
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DFA6240>,Male,,,Long Sleeved,,Turtlenecks,,,1000043
<PIL.Image.Image image mode=RGB size=400x600 at 0x79C77DFA65D0>,Male,,,Short Sleeves,,Round Neck,Printed,Dresses,1000044
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DFA6930>,Neutral,White,,Sleeveless,,V-Necks,Spaghetti Straps,,1000046
<PIL.Image.Image image mode=RGB size=362x600 at 0x79C77DFA6B10>,Female,,,Long Sleeved,,V-Necks,Tunic,Casual Dresses,1000048
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DEFF440>,Female,,Knit,Sleeveless,,Round Neck,Spaghetti Straps,Crop Tops,100005
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF47B30>,Neutral,,,Sleeveless,,,Vintage Retro,Corsets,1000050
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF47C80>,Female,Black Pink Red,,Sleeveless,,Round Neck,Pleated,Dresses,1000051
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DFA4DD0>,Female,Blue Gray Pink Purple,Cotton,,,,,Maternity,1000052
